interNUM;A1_2;A17;A17o;A17oREC;A17REC;A18;A25_1;A25_2;A29;A29o;A29oREC;A29REC;A30;A31_1;A31_2;A31_3;A31_4;A31_5;A31_6;A31_7;A31_8;A31_9;A31_10;A33;interID;interID
5790081;Oui, 2 à 4 fois;Marche à pied;;;Marche à pied;;;;;;;;;;;;;;;;;;;Non;{AD684515-EDD0-48E4-B17E-77B064ECDB5F};{AD684515-EDD0-48E4-B17E-77B064ECDB5F}
5790609;Oui, 1 seule fois;Transports en commun Tisséo (Bus, métro, navette stade …);;;Transports en commun Tisséo (Bus, métro, navette stade …);"Métro Ligne B ;Ligne Linéo";;Plutôt satisfait(e);;;;;;;;;;;;;;;;Oui;{3634FC91-C3B2-4D05-B2A7-914E6293F950};{3634FC91-C3B2-4D05-B2A7-914E6293F950}
5790804;Oui, 1 seule fois;"Voiture;Transports en commun Tisséo (Bus, métro, navette stade …)";;;"Voiture;Transports en commun Tisséo (Bus, métro, navette stade …)";Métro Ligne A ;Tout à fait satisfait(e) ;Tout à fait satisfait(e) ;;;;;;;;;;;;;;;;Oui;{44E5C0F2-F47A-4D47-AC58-C31554B9DED9};{44E5C0F2-F47A-4D47-AC58-C31554B9DED9}
5791300;Oui, 1 seule fois;"Transports en commun Tisséo (Bus, métro, navette stade …);Marche à pied";;;"Transports en commun Tisséo (Bus, métro, navette stade …);Marche à pied";"Bus autre que ligne Linéo;Navette Stadium";;Plutôt satisfait(e);Par mon entourage;;;Par mon entourage;Plutôt satisfait(e);Plutôt satisfait(e);Plutôt satisfait(e);Plutôt satisfait(e);Plutôt satisfait(e);Plutôt satisfait(e);Plutôt pas satisfait(e);Plutôt satisfait(e);Plutôt satisfait(e);Plutôt satisfait(e);Plutôt satisfait(e);;{CE017B9D-9BCE-457A-8A4D-ACDD6A6D6B39};{CE017B9D-9BCE-457A-8A4D-ACDD6A6D6B39}
5791734;Oui, 2 à 4 fois;Marche à pied;;;Marche à pied;;;;;;;;;;;;;;;;;;;Non;{68E1A559-25CC-4A86-8F4F-A7C26BE66257};{68E1A559-25CC-4A86-8F4F-A7C26BE66257}
5791861;Oui, 2 à 4 fois;Marche à pied;;;Marche à pied;;;;;;;;;;;;;;;;;;;Oui;{588896E6-5A23-458D-B631-9DFF20FFDAFB};{588896E6-5A23-458D-B631-9DFF20FFDAFB}
5793422;Oui, 1 seule fois;"Transports en commun Tisséo (Bus, métro, navette stade …);Marche à pied";;;"Transports en commun Tisséo (Bus, métro, navette stade …);Marche à pied";Métro Ligne B ;;Plutôt satisfait(e);;;;;;;;;;;;;;;;Oui;{4509E1CA-7FCA-43E6-8FD0-731BC116A9E2};{4509E1CA-7FCA-43E6-8FD0-731BC116A9E2}
5793822;Oui, 2 à 4 fois;Transports en commun Tisséo (Bus, métro, navette stade …);;;Transports en commun Tisséo (Bus, métro, navette stade …);Métro Ligne B ;;Tout à fait satisfait(e) ;;;;;;;;;;;;;;;;Non;{51108826-26D8-4AF1-A79A-3254D066A53A};{51108826-26D8-4AF1-A79A-3254D066A53A}
5796258;Oui, plus de 4 fois;Vélo;;;Vélo;;;;;;;;;;;;;;;;;;;Non;{0EB7387B-DCA2-4B82-A9E2-998BF8F071B5};{0EB7387B-DCA2-4B82-A9E2-998BF8F071B5}
5799698;Oui, plus de 4 fois;"Transports en commun Tisséo (Bus, métro, navette stade …);Voiture;Marche à pied";;;"Transports en commun Tisséo (Bus, métro, navette stade …);Voiture;Marche à pied";"Tramway ;Navette Stadium";Pas du tout satisfait(e);Tout à fait satisfait(e) ;Par mon entourage;;;Par mon entourage;Tout à fait satisfait(e) ;Tout à fait satisfait(e) ;Tout à fait satisfait(e) ;Tout à fait satisfait(e) ;Tout à fait satisfait(e) ;Tout à fait satisfait(e) ;Tout à fait satisfait(e) ;Tout à fait satisfait(e) ;Tout à fait satisfait(e) ;Tout à fait satisfait(e) ;Tout à fait satisfait(e) ;;{9A3E6046-F1ED-4451-A524-060E7A794BD7};{9A3E6046-F1ED-4451-A524-060E7A794BD7}
